Year,Month,1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises"
2013,9,110.42686351760848,93.53116019249383,119.31758389139219,96.73449076278072,184.60248032813237,264.6289800062736,109.3701613190395,135.7464522307141,111.92569121594478,100.57190046796536,84.69245526503012,74.39108177628573
2013,10,177.43455819496083,159.4561083975777,268.6196512527782,168.87176835881746,582.4078001206148,538.1047089231905,109.68185087041698,357.254071521441,117.15364967238474,111.08845143157912,15.591422089657602,95.86496535441134
2013,11,78.7087509365874,67.16274174659195,76.77225803994911,70.9213111299271,81.6622587342898,137.3674791776754,43.77438265483444,85.79940559631866,91.58707930945813,87.89878642388659,26.84253283818684,0
2013,12,92.19047652244912,95.22825315679025,100.14658203700955,90.91901843995477,114.40191063072201,217.82739552549398,47.146121082052936,203.74288518662183,115.3928196671842,155.63204262193346,17.871691450547395,23.54686357865879
2014,1,94.84290588148444,76.31707390280305,110.18859233503218,111.70159495623157,89.69125538961099,253.26181150210863,52.714428536870216,219.11295626844188,170.92372609019293,134.06002973671167,42.482418865161705,36.27863439963974
2014,2,84.19193937859644,44.055515309508664,82.55332492968424,71.900736667329,82.36343802480599,232.69071752221035,71.7702665715658,178.0343790943132,160.13944829367605,86.71348412138654,185.26766344704305,46.181001830759975
2014,3,68.82542600706442,45.16197703077868,63.419564363868005,60.56936146321076,46.267961876412926,104.67706683226855,66.1163515301676,113.02422566412551,86.24160874828246,58.96223449976144,167.8730782922803,116.30191966741705
2014,4,55.37443614930311,25.73011665698256,57.50331656394901,61.68741982836594,39.08402713440052,91.26114794502088,25.90857216756779,80.72808594057962,80.38736008860845,42.79419045025628,28.513070358116867,21.91432960949999
2014,5,61.99283869172461,30.263870965489176,62.75958386294617,63.702030986915496,51.09504715376587,80.94935739575644,33.33140153115472,75.79783884958995,97.09440753211976,71.31500388190062,18.71843317022573,7.193225933119327
2014,6,57.39754543191636,18.68332576554847,60.58691585821985,63.779502711867735,28.04043631376203,72.09999147772962,30.31862840124989,52.08088977803968,94.48127757605982,70.2457907908293,15.211177617445864,38.96958551179718
2014,7,70.09205723834641,42.366430029041425,68.22263991775891,71.94193291483053,39.23092883606514,106.92449862556319,51.752608000070765,73.52795928157117,92.40323712006577,76.65822026430381,30.181343928875318,23.196516916908323
2014,8,48.06057922571171,34.959716777078064,43.3496701450321,46.800605187082475,20.55630291036062,77.67767090039897,26.37416619788715,43.446478293711884,87.86281963553576,86.5679572761456,22.49473841975157,46.103498596117845
2014,9,53.55860270263499,45.63621949611687,50.09061989352636,51.16091118408074,31.923305977995433,99.0084893919288,40.88406890719812,81.20526849415732,70.49900885898747,74.58351720502114,12.23521091643739,7.522906274125148
2014,10,63.70123757161534,41.26954379968663,67.91616275596463,73.463618121426,31.513920246749848,119.01527423708905,56.6337309642266,89.59035206825115,113.28558202081582,47.12677933274351,15.874345147508267,6.971752704050338
2014,11,55.980921093589345,32.1126884967344,68.39020385156435,70.69728450610931,60.553426073036924,108.99958114137226,29.157092023052513,86.33640061768158,98.9264779910838,76.56188643417165,22.607562030003525,15.444911084877383
2014,12,63.20245802058438,37.34541893242698,67.70636951941822,69.85562928013333,47.42608214729426,90.63093562759127,35.20309781734556,55.054255604281444,105.81247799403145,84.2470506025391,17.736289985488977,46.73693050660286
