DATE,NUMBER_ARTICLES,TPUD_ARTICLES,TPUD_index,TPUD_index_MA7,TPUD_index_MA30
2015-04-01 00:00:00,751,2,26.6311584553928,13.5718349200657,19.6966266199019
2015-04-02 00:00:00,980,0,0,12.1331929980401,17.9650248883001
2015-04-03 00:00:00,725,2,27.5862068965517,16.0740796975475,18.0584602028609
2015-04-04 00:00:00,570,0,0,13.7398126573981,18.0584602028609
2015-04-05 00:00:00,909,3,33.003300330033,16.8966947889825,19.158570213862
2015-04-06 00:00:00,517,0,0,14.4835673758551,18.7408592698353
2015-04-07 00:00:00,763,3,39.3184796854521,18.0770207667756,19.6790357807656
2015-04-08 00:00:00,741,1,13.4952766531713,16.2004662236011,18.5639331089543
2015-04-09 00:00:00,952,1,10.5042016806722,17.7010664636972,18.0298998670103
2015-04-10 00:00:00,851,1,11.7508813160987,15.438877095061,18.4215959108803
2015-04-11 00:00:00,662,1,15.1057401812688,17.5968399780994,17.5810345620839
2015-04-12 00:00:00,906,0,0,12.8820827880947,17.5810345620839
2015-04-13 00:00:00,619,1,16.1550888529886,15.189952624236,17.5730894364185
2015-04-14 00:00:00,690,1,14.4927536231884,11.6434203296269,16.5478855979154
2015-04-15 00:00:00,813,1,12.30012300123,11.4726840936352,14.9284630109955
2015-04-16 00:00:00,1063,1,9.40733772342427,11.3159892425998,15.2420409351096
2015-04-17 00:00:00,880,4,45.4545454545454,16.1307984052351,15.8538500835041
2015-04-18 00:00:00,603,3,49.7512437810945,21.080156062353,16.8705822711383
2015-04-19 00:00:00,909,1,11.001100110011,22.6517417923546,16.8589276815401
2015-04-20 00:00:00,609,2,32.8407224958949,25.0354037413412,17.4295094167282
2015-04-21 00:00:00,717,3,41.8410041841004,28.9422966786143,18.4343460084399
2015-04-22 00:00:00,783,3,38.3141762452107,32.658589999183,18.6599605057829
2015-04-23 00:00:00,984,2,20.3252032520325,34.2182850746985,18.390497583881
2015-04-24 00:00:00,885,1,11.2994350282485,29.3389835852275,18.2983221645225
2015-04-25 00:00:00,587,1,17.0357751277683,24.6653452061809,18.5304982203088
2015-04-26 00:00:00,883,1,11.3250283125707,24.7116206636894,18.9079991640612
2015-04-27 00:00:00,619,3,48.465266558966,26.9436983869853,19.9788457399919
2015-04-28 00:00:00,701,4,57.0613409415121,29.1180322094727,21.5173862577442
2015-04-29 00:00:00,740,3,40.5405405405405,29.4360842516627,22.3056745460325
2015-04-30 00:00:00,1024,5,48.828125,33.507930215658,23.4611351810655
2015-05-01 00:00:00,848,2,23.5849056603773,35.2629974488193,23.3595934212317
2015-05-02 00:00:00,615,1,16.260162601626,35.1521956593704,23.9015988412859
2015-05-03 00:00:00,907,3,33.0760749724366,38.2594880393512,24.0845944438154
2015-05-04 00:00:00,582,0,0,31.3358785309275,24.0845944438154
2015-05-05 00:00:00,705,3,42.5531914893617,29.2632857520488,24.4029241491264
2015-05-06 00:00:00,785,4,50.9554140127388,30.7511248195057,26.101437949551
2015-05-07 00:00:00,988,1,10.1214574898785,25.2216008894884,25.1282038763652
2015-05-08 00:00:00,852,3,35.2112676056338,26.8825097388107,25.8520702414473
2015-05-09 00:00:00,579,3,51.81347150259059,31.96155386752,27.2290459021779
2015-05-10 00:00:00,883,2,22.6500566251415,30.4721226750492,27.5923517458127
2015-05-11 00:00:00,604,2,33.1125827814569,35.2024916438288,28.1925798324856
2015-05-12 00:00:00,719,7,97.3574408901251,43.0316701296522,31.4378278621564
2015-05-13 00:00:00,778,6,77.1208226221079,46.76958564527629,33.4700189877937
2015-05-14 00:00:00,1014,5,49.30966469428,52.36790096019079,34.6305826901635
2015-05-15 00:00:00,873,8,91.6380297823596,60.4288669854374,37.2751795828678
2015-05-16 00:00:00,607,5,82.37232289950569,64.7944171849967,39.7073457554038
2015-05-17 00:00:00,930,0,0,61.5586948099765,38.1921942402523
2015-05-18 00:00:00,617,8,129.65964343598,75.351132046337,40.85580756208181
