date,equity_pc,source
2021-05-12,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2021-05-12_daily_options
2021-05-14,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2021-05-14_daily_options
2021-09-20,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2021-09-20_daily_options
2021-09-28,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2021-09-28_daily_options
2021-10-04,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2021-10-04_daily_options
2021-11-26,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2021-11-26_daily_options
2021-11-29,0.42,cdn.cboe.com/data/us/options/market_statistics/daily/2021-11-29_daily_options
2021-12-07,0.43,cdn.cboe.com/data/us/options/market_statistics/daily/2021-12-07_daily_options
2021-12-15,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2021-12-15_daily_options
2021-12-16,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2021-12-16_daily_options
2021-12-21,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2021-12-21_daily_options
2022-01-05,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-05_daily_options
2022-01-13,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-13_daily_options
2022-01-18,0.52,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-18_daily_options
2022-01-19,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-19_daily_options
2022-01-20,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-20_daily_options
2022-01-21,0.82,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-21_daily_options
2022-01-25,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-25_daily_options
2022-01-27,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-27_daily_options
2022-01-28,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-28_daily_options
2022-01-31,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2022-01-31_daily_options
2022-02-01,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-01_daily_options
2022-02-03,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-03_daily_options
2022-02-09,0.44,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-09_daily_options
2022-02-10,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-10_daily_options
2022-02-11,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-11_daily_options
2022-02-14,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-14_daily_options
2022-02-15,0.50,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-15_daily_options
2022-02-17,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-17_daily_options
2022-02-18,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-18_daily_options
2022-02-22,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-22_daily_options
2022-02-23,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-23_daily_options
2022-02-24,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-24_daily_options
2022-02-25,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-25_daily_options
2022-02-28,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2022-02-28_daily_options
2022-03-03,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-03_daily_options
2022-03-04,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-04_daily_options
2022-03-07,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-07_daily_options
2022-03-08,0.52,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-08_daily_options
2022-03-09,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-09_daily_options
2022-03-10,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-10_daily_options
2022-03-11,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-11_daily_options
2022-03-14,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-14_daily_options
2022-03-15,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-15_daily_options
2022-03-16,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-16_daily_options
2022-03-17,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-17_daily_options
2022-03-18,0.45,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-18_daily_options
2022-03-24,0.47,cdn.cboe.com/data/us/options/market_statistics/daily/2022-03-24_daily_options
2022-04-04,0.48,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-04_daily_options
2022-04-05,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-05_daily_options
2022-04-06,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-06_daily_options
2022-04-11,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-11_daily_options
2022-04-14,0.50,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-14_daily_options
2022-04-19,0.51,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-19_daily_options
2022-04-20,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-20_daily_options
2022-04-21,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-21_daily_options
2022-04-22,0.87,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-22_daily_options
2022-04-25,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-25_daily_options
2022-04-26,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-26_daily_options
2022-04-28,0.71,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-28_daily_options
2022-04-29,0.78,cdn.cboe.com/data/us/options/market_statistics/daily/2022-04-29_daily_options
2022-05-02,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-02_daily_options
2022-05-03,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-03_daily_options
2022-05-04,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-04_daily_options
2022-05-05,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-05_daily_options
2022-05-06,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-06_daily_options
2022-05-09,0.78,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-09_daily_options
2022-05-10,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-10_daily_options
2022-05-11,0.82,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-11_daily_options
2022-05-13,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-13_daily_options
2022-05-16,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-16_daily_options
2022-05-17,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-17_daily_options
2022-05-18,0.83,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-18_daily_options
